CycleIndex,StartIdx,EndIdx,AvgOriginal,AvgDrawnBeforeClip,AvgDrawnAfterClip,Offset
0,0,51,0.6239162189122606,0.0,0.0,-0.6239162189122606
1,51,100,-0.6493821870311283,0.0,0.0,0.6493821870311283
2,100,151,0.6239162189122606,0.0,0.0,-0.6239162189122606
3,151,200,-0.6493821870311283,0.0,0.0,0.6493821870311283
4,200,251,0.6239162189122606,0.8846552212029549,0.8846552212029549,0.26073900229069435
5,251,300,-0.6493821870311283,-0.7589308947622767,-0.7589308947622767,-0.10954870773114844
6,300,351,0.6239162189122606,0.9802921532911888,0.9802921532911888,0.3563759343789282
7,351,400,-0.6493821870311283,-0.8614406670612761,-0.8614406670612761,-0.21205848003014782
8,400,451,0.6239162189122606,0.9996153708786302,0.9996153708786302,0.3756991519663696
9,451,500,-0.6493821870311283,-0.9234057641551787,-0.9234057641551787,-0.27402357712405045
10,500,551,0.6239162189122606,0.9787025360795855,0.9787025360795855,0.3547863171673249
11,551,600,-0.6493821870311283,-0.9570855244157352,-0.9570855244157352,-0.307703337384607
12,600,651,0.6239162189122606,1.000219788069354,1.000219788069354,0.3763035691570934
13,651,700,-0.6493821870311283,-0.9865346727173426,-0.9865346727173426,-0.33715248568621436
14,700,751,0.6239162189122606,0.9375417253912913,0.9375417253912913,0.31362550647903076
15,751,800,-0.6493821870311283,-0.44548815743195147,-0.44548815743195147,0.2038940295991768
16,800,851,0.6239162189122606,0.0,0.0,-0.6239162189122606
17,851,900,-0.6493821870311283,0.0,0.0,0.6493821870311283
18,900,951,0.6239162189122606,0.0,0.0,-0.6239162189122606
19,951,1000,-0.6493821870311283,0.0,0.0,0.6493821870311283
